SD_NM,SD_CD,SGG_NM,SGG_CD,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
인천광역시,23,남구,23030,5,4,3,3,4,2,1,1,2,5,3,4,6,4,4,3,6,5,3,3,3,3,5,6,3,3,2,3,2,2,2,1,1,2,2,2,3,4,2,2,2,2,1,2,1,3,2,2,4,3,2,2,3,2,1,1,1,2,3,3
인천광역시,23,연수구,23040,4,3,2,3,3,2,1,1,1,4,2,3,4,3,3,3,4,4,2,3,2,2,3,4,2,2,2,2,2,1,1,1,1,1,2,1,2,3,1,1,2,2,1,1,1,2,1,1,3,2,2,2,2,2,1,1,1,1,2,2
인천광역시,23,부평구,23060,13,10,8,7,8,6,3,2,4,13,8,11,16,10,9,9,17,15,9,10,9,9,14,20,8,7,6,8,5,4,5,3,3,4,6,5,8,12,4,5,6,5,3,5,3,7,5,5,11,9,6,7,9,7,5,5,4,6,8,10
인천광역시,23,계양구,23070,6,5,4,3,4,3,2,1,2,6,4,5,7,4,4,4,9,8,5,5,5,5,6,9,4,3,3,3,2,2,2,1,1,2,3,2,4,6,2,2,3,2,1,2,1,3,2,2,5,4,3,3,4,3,2,2,2,3,3,4
인천광역시,23,서구,23080,15,11,8,8,9,6,3,2,4,15,8,11,17,10,10,9,18,15,8,10,9,9,13,18,9,7,6,7,5,4,4,3,3,4,6,4,9,14,5,5,6,6,3,5,3,8,6,6,12,10,7,7,9,7,4,5,4,6,8,9
인천광역시,23,강화군,23310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,23,동구,23020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,23,남동구,23050,12,9,7,7,8,5,3,2,3,12,8,10,15,9,9,8,16,13,8,9,8,8,13,18,8,7,6,7,5,4,5,3,3,4,6,4,8,12,4,4,6,6,3,5,3,8,5,5,10,9,6,6,8,7,4,4,4,6,8,9
인천광역시,23,옹진군,23320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,24,동구,24010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,24,서구,24020,4,4,3,3,4,2,1,1,2,4,3,3,5,3,4,3,4,3,1,1,2,2,2,3,4,3,2,2,3,2,1,1,2,2,2,1,3,4,0,1,2,2,1,1,1,3,0,1,4,3,2,2,3,2,1,1,1,2,1,2
광주광역시,24,남구,24030,2,2,2,1,2,1,0,0,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
광주광역시,24,북구,24040,6,5,5,5,7,3,2,1,4,6,5,5,7,5,7,5,7,6,3,3,4,4,4,5,5,5,3,4,5,3,1,2,3,2,3,2,4,6,0,2,3,3,1,2,2,5,0,0,5,5,3,4,5,3,1,2,3,3,3,3
광주광역시,24,광산구,24050,10,8,8,7,10,4,2,3,6,10,8,9,12,8,11,8,11,8,4,4,6,6,6,8,8,7,5,5,7,4,2,2,4,4,4,3,7,8,1,3,5,4,2,3,3,7,2,2,9,7,6,5,8,5,2,3,4,5,5,5
대전광역시,25,서구,25030,2,2,2,2,2,1,1,0,1,2,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,0,1,1,1,1,2,2,0,1,1,1,1,1,1,2,0,0,2,2,1,1,1,1,1,0,1,1,1,1
대전광역시,25,유성구,25040,3,3,3,3,3,2,1,1,2,3,3,3,4,3,3,3,3,3,1,1,2,2,2,3,3,3,2,2,2,1,1,1,1,1,2,1,3,4,0,1,2,2,1,1,1,3,0,0,3,3,2,2,2,2,1,1,1,2,1,1
대전광역시,25,동구,25010,2,2,2,2,2,1,1,0,1,2,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,0,1,1,1,1,2,2,0,1,2,1,1,1,1,2,0,0,2,2,1,1,2,1,1,0,1,1,1,1
대전광역시,25,중구,25020,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
대전광역시,25,대덕구,25050,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,1,1,2,2,0,0,1,1,0,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,1,1
