SD_NM,SGG_NM,SGG_CD,NO2__RR,NO2__ad,PM2_5__RR,PM2_5__ad,PM10__RR,PM10__ad
전라남도,장성군,36450,1.028,31,1.017,55,1.013,47
전라남도,완도군,36460,1.042,20,1.02,40,1.015,45
전라남도,진도군,36470,1.039,11,1.018,22,1.013,22
전라남도,신안군,36480,1.035,17,1.019,31,1.014,36
경상북도,포항시 남구,37011,1.016,67,1.014,122,1.009,95
경상북도,포항시 북구,37012,1.014,29,1.014,110,1.009,81
경상북도,경주시,37020,1.01,56,1.014,178,1.008,128
경상북도,김천시,37030,1.021,54,1.014,108,1.009,81
경상북도,안동시,37040,1.017,50,1.013,112,1.008,79
경상북도,구미시,37050,1.016,45,1.013,106,1.008,77
경상북도,영주시,37060,1.012,27,1.012,82,1.007,53
경상북도,영천시,37070,1.01,22,1.013,86,1.008,60
경상북도,상주시,37080,1.015,33,1.013,91,1.008,65
경상북도,문경시,37090,1.011,16,1.012,55,1.007,38
경상북도,경산시,37100,1.014,72,1.014,127,1.009,95
경상북도,군위군,37310,1.011,8,1.013,30,1.007,20
경상북도,의성군,37320,1.014,20,1.013,69,1.008,48
경상북도,청송군,37330,1.01,4,1.013,21,1.007,14
경상북도,영양군,37340,1.011,4,1.013,14,1.007,9
경상북도,영덕군,37350,1.013,6,1.013,31,1.008,22
경상북도,청도군,37360,1.007,12,1.014,47,1.008,33
경상북도,고령군,37370,1.014,14,1.015,32,1.009,24
경상북도,성주군,37380,1.018,23,1.015,51,1.01,39
경상북도,칠곡군,37390,1.018,39,1.014,66,1.009,52
경상북도,예천군,37400,1.011,13,1.012,47,1.007,31
경상북도,봉화군,37410,1.012,8,1.012,26,1.007,17
경상북도,울진군,37420,1.015,10,1.013,32,1.009,25
경상북도,울릉군,37430,1.008,0,1.011,1,1.005,1
경상남도,진주시,38030,1.021,110,1.016,193,1.011,149
경상남도,통영시,38050,1.023,33,1.018,75,1.012,69
경상남도,사천시,38060,1.027,63,1.017,88,1.012,75
경상남도,김해시,38070,1.01,67,1.014,197,1.009,139
경상남도,밀양시,38080,1.01,26,1.014,93,1.008,63
경상남도,거제시,38090,1.02,37,1.017,83,1.012,75
경상남도,양산시,38100,0.999,0,1.012,91,1.006,53
경상남도,창원시 의창구,38111,1.017,49,1.015,106,1.01,81
경상남도,창원시 성산구,38112,1.019,32,1.016,66,1.011,51
경상남도,창원시 마산합포구,38113,1.02,66,1.016,117,1.011,93
경상남도,창원시 마산회원구,38114,1.017,49,1.016,98,1.01,78
경상남도,창원시 진해구,38115,1.006,19,1.014,80,1.008,58
경상남도,의령군,38310,1.023,23,1.016,46,1.011,36
경상남도,함안군,38320,1.019,28,1.016,62,1.011,48
경상남도,창녕군,38330,1.017,32,1.015,74,1.01,56
경상남도,고성군,38340,1.02,30,1.017,56,1.011,46
경상남도,남해군,38350,1.033,61,1.018,63,1.013,59
경상남도,하동군,38360,1.025,28,1.017,54,1.012,44
경상남도,산청군,38370,1.019,14,1.015,36,1.01,27
경상남도,함양군,38380,1.02,14,1.015,42,1.01,32
경상남도,거창군,38390,1.02,17,1.015,50,1.01,37
경상남도,합천군,38400,1.02,26,1.015,66,1.01,50
제주특별자치도,제주시,39010,1.015,22,1.013,64,1.008,53
제주특별자치도,서귀포시,39020,1.002,2,1.011,26,1.004,15
